ID,CITY,STATE,LAT_N,LONG_W
1,Pfeifer,KS,37.44478047,65.68491252
3,Hesperia,CA,106.0569286,71.11876711
4,South Britain,CT,65.58421931,33.60504379
11,Crescent City,FL,58.03964248,117.904074
14,Forest,MS,120.283076,50.22883356
15,Ducor,CA,140.8633607,102.039339
16,Beaufort,MO,71.77418064,85.65741838
17,Fredericktown,MO,105.5334784,112.6890911
23,Honolulu,HI,110.101955,139.7437776
25,New Century,KS,135.0165273,79.2737078
26,Church Creek,MD,39.43148157,91.25809126
29,South Carrollton,KY,57.99646524,116.9612554
31,Novinger,MO,108.0363353,111.905194
33,Saint Elmo,AL,27.34698627,50.57950365
34,Mcbrides,MI,74.05708403,35.68248542
35,Richmond Hill,GA,39.39625803,113.5962389
44,Kismet,KS,99.82252766,156.5035829
45,Rives Junction,MI,94.19750922,116.8527277
49,Osborne,KS,70.36168327,139.7111654
53,Shasta,CA,99.3217648,155.6064309
55,Coalgood,KY,57.17093106,149.0199479
57,Clifton,AZ,30.15463898,135.7025933
59,Whitewater,MO,82.71809743,71.42607696
61,Brilliant,AL,86.44332452,159.8521168
62,Monroe,AR,131.9009853,150.2191899
65,Buffalo Creek,CO,47.66145958,148.18673
67,Reeds,MO,30.78888129,42.50211311
69,Kingsland,AR,78.22487634,85.13857667
70,Norphlet,AR,144.0236478,61.19376352
76,Pico Rivera,CA,143.2779102,116.5329052
80,Bridgton,ME,93.2257481,140.415464
81,Cowgill,MO,136.7968514,27.64437869
82,Many,LA,36.27989144,94.73049099
84,Cobalt,CT,87.32065593,26.53203148
88,Eros,LA,95.16264172,58.31349033
92,Watkins,CO,83.27433063,96.73732305
93,Dale,IN,69.59335022,34.41552119
95,Dupo,IL,41.28342297,29.03342929
96,Raymondville,MO,70.68239168,148.4444084
98,Hackleburg,AL,119.5607105,120.6244819
99,Woodstock Valley,CT,117.3945666,162.6313182
100,North Monmouth,ME,130.9470284,78.1720794
102,Kirksville,MO,140.0030631,143.8709979
104,Yalaha,FL,120.379672,119.6867612
105,Weldon,CA,134.0156771,118.9609382
106,Yuma,AZ,111.3250449,153.9544591
108,North Berwick,ME,70.83371719,27.32004135
